time_s,phase_deg
1.380000000000000071e+01,-5.530971304259694534e+02
1.390000000000000036e+01,-4.181811799881836578e+02
1.400000000000000000e+01,-3.322378220521911771e+02
1.409999999999999964e+01,-2.508886080731610946e+02
1.419999999999999929e+01,-1.605613314355741750e+02
1.430000000000000071e+01,-2.282671788625630143e+02
1.440000000000000036e+01,-3.499846648544601067e+02
1.450000000000000000e+01,-5.221057963109419688e+02
1.459999999999999964e+01,-3.857022928696503641e+02
1.469999999999999929e+01,-2.989264363502632023e+02
1.480000000000000071e+01,-2.464711893582814355e+02
1.490000000000000036e+01,-1.098801427682165013e+02
1.500000000000000000e+01,-1.702259628852336846e+02
1.509999999999999964e+01,-2.769784660905982037e+02
1.519999999999999929e+01,-4.301467669736002790e+02
1.530000000000000071e+01,-2.675863967298482748e+02
1.540000000000000036e+01,-1.469149394964629209e+02
1.550000000000000000e+01,-6.878096520548888293e+01
1.559999999999999964e+01,-2.674509451738072130e+01
1.569999999999999929e+01,1.414031169615007002e+02
1.580000000000000071e+01,1.011536534452220621e+02
1.590000000000000036e+01,2.447392385712146279e+01
1.600000000000000000e+01,-8.656053800428821887e+01
1.610000000000000142e+01,-2.282003568739476123e+02
1.619999999999999929e+01,-4.043153381042363890e+02
1.630000000000000071e+01,-2.480531080079242656e+02
1.639999999999999858e+01,-1.181465427317064041e+02
1.650000000000000000e+01,-1.469648614262314368e+01
1.660000000000000142e+01,6.551753390918293007e+01
1.669999999999999929e+01,1.250150779838431845e+02
1.680000000000000071e+01,1.595315739976922487e+02
1.689999999999999858e+01,1.869613530299968716e+02
1.700000000000000000e+01,8.823376683048536506e+00
1.710000000000000142e+01,-1.614498071482012165e+01
1.719999999999999929e+01,-3.935226608690322792e+01
1.730000000000000071e+01,-8.233320099916795698e+01
1.739999999999999858e+01,-1.360092328752557478e+02
1.750000000000000000e+01,-2.000664490469696375e+02
1.760000000000000142e+01,-2.739458088106096056e+02
1.769999999999999929e+01,-3.545565703017807664e+02
1.780000000000000071e+01,-4.424132676097931380e+02
1.789999999999999858e+01,-5.364228126084406085e+02
1.800000000000000000e+01,-6.380112249537146454e+02
1.810000000000000142e+01,-7.411145926477511239e+02
1.819999999999999929e+01,-8.457619771601332559e+02
1.830000000000000071e+01,-9.530771001336304380e+02
1.839999999999999858e+01,-1.062089718985815352e+03
1.850000000000000000e+01,-1.170876761286342798e+03
1.860000000000000142e+01,-1.279700475389287703e+03
1.869999999999999929e+01,-1.384611889799603205e+03
1.880000000000000071e+01,-1.488141247393679123e+03
1.889999999999999858e+01,-1.588536955112138685e+03
1.900000000000000000e+01,-1.687660773108389776e+03
1.910000000000000142e+01,-1.782185686360355021e+03
1.919999999999999929e+01,-1.873878841386708928e+03
1.930000000000000071e+01,-1.960689726731699693e+03
1.939999999999999858e+01,-2.039321542310716950e+03
1.950000000000000000e+01,-2.110983233708201624e+03
1.960000000000000142e+01,-2.180772422884988373e+03
1.969999999999999929e+01,-2.239779505767818591e+03
1.980000000000000071e+01,-2.292556378764314104e+03
1.989999999999999858e+01,-2.337466561358436593e+03
2.000000000000000000e+01,-2.374773953459547556e+03
2.010000000000000142e+01,-2.407871912596203401e+03
2.019999999999999929e+01,-2.431449522011362205e+03
2.030000000000000071e+01,-2.434307234225032516e+03
2.039999999999999858e+01,-2.336218904014325744e+03
2.050000000000000000e+01,-2.252173147048768442e+03
2.060000000000000142e+01,-2.250444967158216969e+03
2.069999999999999929e+01,-2.226066623105898543e+03
2.080000000000000071e+01,-2.192952996977722250e+03
2.089999999999999858e+01,-2.150811423367814314e+03
2.100000000000000000e+01,-2.099489981725761936e+03
2.110000000000000142e+01,-2.036470416626508950e+03
2.119999999999999929e+01,-1.963988694295948108e+03
2.130000000000000071e+01,-1.878662771490218120e+03
2.139999999999999858e+01,-1.782851483379052979e+03
2.150000000000000000e+01,-1.676477501036721833e+03
2.160000000000000142e+01,-1.560468075645165527e+03
2.169999999999999929e+01,-1.436113821511671404e+03
2.180000000000000071e+01,-1.297716350570424083e+03
2.189999999999999858e+01,-1.149400836194901558e+03
2.200000000000000000e+01,-9.883825870491084515e+02
2.210000000000000142e+01,-8.171274916804607074e+02
2.219999999999999929e+01,-9.958529512719248942e+02
2.230000000000000071e+01,-1.162244838180456782e+03
2.239999999999999858e+01,-1.317200447289925023e+03
2.250000000000000000e+01,-1.461447663468536803e+03
2.260000000000000142e+01,-1.595616175381067706e+03
2.269999999999999929e+01,-1.719252497022044508e+03
2.280000000000000071e+01,-1.831320923671683659e+03
2.289999999999999858e+01,-1.931913607535049550e+03
2.300000000000000000e+01,-2.020496545126554111e+03
2.310000000000000142e+01,-2.098229221865972249e+03
2.319999999999999929e+01,-2.166142115654090048e+03
2.330000000000000071e+01,-2.223144223857891120e+03
2.339999999999999858e+01,-2.269996898744153441e+03
2.350000000000000000e+01,-2.308064266176826095e+03
2.360000000000000142e+01,-2.338948859496244040e+03
2.369999999999999929e+01,-2.351034902716027318e+03
2.380000000000000071e+01,-2.223491763958531010e+03
2.389999999999999858e+01,-2.172927276724158219e+03
2.400000000000000000e+01,-2.154692772651931591e+03
2.410000000000000142e+01,-2.125486667318698892e+03
2.419999999999999929e+01,-2.082112822522485658e+03
2.430000000000000071e+01,-2.030667864707626677e+03
2.439999999999999858e+01,-1.970719636173520257e+03
2.450000000000000000e+01,-1.900267335091517225e+03
2.460000000000000142e+01,-1.819961909097996113e+03
2.469999999999999929e+01,-1.728233380109530344e+03
2.480000000000000071e+01,-1.626215694214670975e+03
2.489999999999999858e+01,-1.516578237149005645e+03
2.500000000000000000e+01,-1.397608311890811592e+03
2.510000000000000142e+01,-1.268321545521338294e+03
2.519999999999999929e+01,-1.130428677192153600e+03
2.530000000000000071e+01,-9.825720585860751726e+02
2.539999999999999858e+01,-8.249033047355576400e+02
2.550000000000000000e+01,-6.559351158752763240e+02
2.560000000000000142e+01,-4.774174520089184171e+02
2.569999999999999929e+01,-6.496628294186505173e+02
2.580000000000000071e+01,-8.108107239514795310e+02
2.589999999999999858e+01,-9.608786935127934612e+02
2.600000000000000000e+01,-1.099871149989564628e+03
2.610000000000000142e+01,-1.232106762207053862e+03
2.619999999999999929e+01,-1.355009217357586977e+03
2.630000000000000071e+01,-1.467864554330201599e+03
2.639999999999999858e+01,-1.572646132836129027e+03
2.650000000000000000e+01,-1.669067298701680784e+03
2.660000000000000142e+01,-1.757156452069527177e+03
2.669999999999999929e+01,-1.835373350344379787e+03
2.680000000000000071e+01,-1.901051866161644966e+03
2.689999999999999858e+01,-1.959367041447124166e+03
2.700000000000000000e+01,-2.008907736233712740e+03
2.710000000000000142e+01,-2.049843011320213009e+03
2.719999999999999929e+01,-2.080056052628422549e+03
2.730000000000000071e+01,-2.102964045225026894e+03
2.739999999999999858e+01,-2.111400188903092385e+03
2.750000000000000000e+01,-1.964971414406071972e+03
2.760000000000000142e+01,-1.932254559041045695e+03
2.769999999999999929e+01,-1.922548190244695206e+03
2.780000000000000071e+01,-1.900049886143511458e+03
2.789999999999999858e+01,-1.870162795758978291e+03
2.800000000000000000e+01,-1.831592849024870929e+03
2.810000000000000142e+01,-1.784079710894848404e+03
2.819999999999999929e+01,-1.728111823848949143e+03
2.830000000000000071e+01,-1.661246004861420943e+03
2.839999999999999858e+01,-1.586112445070419881e+03
2.850000000000000000e+01,-1.501390660271754086e+03
2.860000000000000142e+01,-1.409138475565931230e+03
2.869999999999999929e+01,-1.310753086403810585e+03
2.880000000000000071e+01,-1.205104908467024643e+03
2.889999999999999858e+01,-1.091752863397028932e+03
2.900000000000000000e+01,-9.701786858033108274e+02
2.910000000000000142e+01,-8.416999570394430066e+02
2.919999999999999929e+01,-7.053943691787601438e+02
2.930000000000000071e+01,-5.607855039079629478e+02
2.939999999999999858e+01,-4.088077479421669977e+02
2.950000000000000000e+01,-2.500817519195004479e+02
2.960000000000000142e+01,-8.282443450078130809e+01
2.969999999999999929e+01,9.320746329561643506e+01
2.980000000000000071e+01,-8.327850981257029161e+01
2.989999999999999858e+01,-2.518205334358956407e+02
