time_s,phase_deg
0.000000000000000000e+00,-2.077770851521790973e+01
1.000000000000000056e-01,-2.133200278399087324e+01
2.000000000000000111e-01,-2.101489361200809469e+01
2.999999999999999889e-01,-2.093231855871212588e+01
4.000000000000000222e-01,-2.084982364569691526e+01
5.000000000000000000e-01,-2.075422913772973743e+01
5.999999999999999778e-01,-2.060926490546184198e+01
6.999999999999999556e-01,-2.044258779926791192e+01
8.000000000000000444e-01,-2.034813256125937642e+01
9.000000000000000222e-01,-2.024240924325465585e+01
1.000000000000000000e+00,-2.015393917442371219e+01
1.100000000000000089e+00,-2.005354331098233445e+01
1.199999999999999956e+00,-1.990082826422887763e+01
1.300000000000000044e+00,-1.988623943528122595e+01
1.399999999999999911e+00,-1.979065003399514922e+01
1.500000000000000000e+00,-1.969543625604489989e+01
1.600000000000000089e+00,-1.957964976665789436e+01
1.699999999999999956e+00,-1.941074407704169857e+01
1.800000000000000044e+00,-1.922397785816073679e+01
1.899999999999999911e+00,-1.919181959544867766e+01
2.000000000000000000e+00,-1.902786682640643789e+01
2.100000000000000089e+00,-1.883165325370070775e+01
2.200000000000000178e+00,-1.869899916587228006e+01
2.299999999999999822e+00,-1.844070055977805112e+01
2.399999999999999911e+00,-1.833987068486489136e+01
2.500000000000000000e+00,-1.836750503422753411e+01
2.600000000000000089e+00,-1.821821124298656969e+01
2.700000000000000178e+00,-1.814323875290675403e+01
2.799999999999999822e+00,-1.799401303612613390e+01
2.899999999999999911e+00,-1.782804486991800275e+01
3.000000000000000000e+00,-1.763146612021080273e+01
3.100000000000000089e+00,-1.757041459916398196e+01
3.200000000000000178e+00,-1.734624020380535114e+01
3.299999999999999822e+00,-1.730903062934969228e+01
3.399999999999999911e+00,-1.714433358845974453e+01
3.500000000000000000e+00,-1.702426807564930300e+01
3.600000000000000089e+00,-1.687786939690856514e+01
3.700000000000000178e+00,-1.677948743111778640e+01
3.799999999999999822e+00,-1.663495833233892540e+01
3.899999999999999911e+00,-1.650822022265975875e+01
4.000000000000000000e+00,-1.632646327960067367e+01
4.099999999999999645e+00,-1.619700952061843680e+01
4.200000000000000178e+00,-1.597607582944323212e+01
4.299999999999999822e+00,-1.599652660476304789e+01
4.400000000000000355e+00,-1.579610134045032055e+01
4.500000000000000000e+00,-1.568468794894964446e+01
4.599999999999999645e+00,-1.554607183728434450e+01
4.700000000000000178e+00,-1.544630860587042775e+01
4.799999999999999822e+00,-1.514713188472153149e+01
4.900000000000000355e+00,-1.507123003638398018e+01
5.000000000000000000e+00,-1.495656057152959306e+01
5.099999999999999645e+00,-1.477933344648134550e+01
5.200000000000000178e+00,-1.463285468706654058e+01
5.299999999999999822e+00,-1.445527375207687726e+01
5.400000000000000355e+00,-1.437622747789829702e+01
5.500000000000000000e+00,-1.420839561006248175e+01
5.599999999999999645e+00,-1.405716165940903295e+01
5.700000000000000178e+00,-1.390919040112488858e+01
5.799999999999999822e+00,-1.375716287088395973e+01
5.900000000000000355e+00,-1.358215488517171821e+01
6.000000000000000000e+00,-1.346574270871180090e+01
6.099999999999999645e+00,-1.331341702150996298e+01
6.200000000000000178e+00,-1.319408484068591747e+01
6.299999999999999822e+00,-1.302947278401259723e+01
6.400000000000000355e+00,-1.297456990119772513e+01
6.500000000000000000e+00,-1.281158400026336608e+01
6.599999999999999645e+00,-1.256008439556755718e+01
6.700000000000000178e+00,-1.246643381780936011e+01
6.799999999999999822e+00,-1.232565374255653978e+01
6.900000000000000355e+00,-1.223445777891012654e+01
7.000000000000000000e+00,-1.197134894516646852e+01
7.099999999999999645e+00,-1.185116074880897941e+01
7.200000000000000178e+00,-1.175527664216750168e+01
7.299999999999999822e+00,-1.157010558381142573e+01
7.400000000000000355e+00,-1.146332505287135461e+01
7.500000000000000000e+00,-1.132646491948111134e+01
7.599999999999999645e+00,-1.117324687837728447e+01
7.700000000000000178e+00,-1.093722330229985573e+01
7.799999999999999822e+00,-1.090428791114470641e+01
7.900000000000000355e+00,-1.075149969174653108e+01
8.000000000000000000e+00,-1.057942342768139099e+01
8.099999999999999645e+00,-1.047472548888401889e+01
8.199999999999999289e+00,-1.031216711057652446e+01
8.300000000000000711e+00,-1.021243625932953591e+01
8.400000000000000355e+00,-1.008278988006675547e+01
8.500000000000000000e+00,-9.861521529304866363e+00
8.599999999999999645e+00,-9.834194541480840712e+00
8.699999999999999289e+00,-9.606466043058063065e+00
8.800000000000000711e+00,-9.445996049940504236e+00
8.900000000000000355e+00,-9.361393789890840367e+00
9.000000000000000000e+00,-9.254490281025880449e+00
9.099999999999999645e+00,-8.994174006603344651e+00
9.199999999999999289e+00,-8.965374446974394118e+00
9.300000000000000711e+00,-8.756189923169216627e+00
9.400000000000000355e+00,-8.584856743946957636e+00
9.500000000000000000e+00,-8.441884815369206763e+00
9.599999999999999645e+00,-8.276659081779399685e+00
9.699999999999999289e+00,-8.099719496391074358e+00
9.800000000000000711e+00,-7.988869667055070067e+00
9.900000000000000355e+00,-7.872495398560076296e+00
1.000000000000000000e+01,-7.744939971239688248e+00
1.009999999999999964e+01,-7.579065896821688852e+00
1.019999999999999929e+01,-7.447582303129237857e+00
1.030000000000000071e+01,-7.294403679737982316e+00
1.040000000000000036e+01,-7.130264687546130631e+00
1.050000000000000000e+01,-7.005173493111897187e+00
1.059999999999999964e+01,-6.792126907198451136e+00
