time_s,phase_deg
0.000000000000000000e+00,4.658684879098066745e+01
1.000000000000000056e-01,4.601984068396588157e+01
2.000000000000000111e-01,4.582503451988959853e+01
2.999999999999999889e-01,4.545262299545443341e+01
4.000000000000000222e-01,4.512028428940266167e+01
5.000000000000000000e-01,4.484316140087730673e+01
5.999999999999999778e-01,4.464252685641298513e+01
6.999999999999999556e-01,4.428599702411510464e+01
8.000000000000000444e-01,4.395590060276427380e+01
9.000000000000000222e-01,4.359170955883571708e+01
1.000000000000000000e+00,4.329373042291170748e+01
1.100000000000000089e+00,4.300362846550119400e+01
1.199999999999999956e+00,4.267804206718523119e+01
1.300000000000000044e+00,4.225881618139658258e+01
1.399999999999999911e+00,4.192090824540944993e+01
1.500000000000000000e+00,4.145698575959731613e+01
1.600000000000000089e+00,4.107930621082998357e+01
1.699999999999999956e+00,4.069927767469167179e+01
1.800000000000000044e+00,4.035385684760460379e+01
1.899999999999999911e+00,4.014361880677473948e+01
2.000000000000000000e+00,3.968696586170503338e+01
2.100000000000000089e+00,3.940447060688062209e+01
2.200000000000000178e+00,3.899236988557289862e+01
2.299999999999999822e+00,3.864252796073941454e+01
2.399999999999999911e+00,3.832468441142711413e+01
2.500000000000000000e+00,3.799984119806219951e+01
2.600000000000000089e+00,3.766076397837041156e+01
2.700000000000000178e+00,3.742560122984448867e+01
2.799999999999999822e+00,3.727266617873760879e+01
2.899999999999999911e+00,3.705956726665691292e+01
3.000000000000000000e+00,3.682041440562942114e+01
3.100000000000000089e+00,3.647992532804492782e+01
3.200000000000000178e+00,3.630977699924605417e+01
3.299999999999999822e+00,3.613074438320130355e+01
3.399999999999999911e+00,3.581698916450125125e+01
3.500000000000000000e+00,3.563788165344460879e+01
3.600000000000000089e+00,3.542093298757225739e+01
3.700000000000000178e+00,3.520723383818052810e+01
3.799999999999999822e+00,3.488236189101154139e+01
3.899999999999999911e+00,3.453226205365611179e+01
4.000000000000000000e+00,3.421600376994868498e+01
4.099999999999999645e+00,3.387596826602954536e+01
4.200000000000000178e+00,3.353532440599508391e+01
4.299999999999999822e+00,3.334510795626381707e+01
4.400000000000000355e+00,3.320180301288689861e+01
4.500000000000000000e+00,3.293847563609517692e+01
4.599999999999999645e+00,3.264010140327582121e+01
4.700000000000000178e+00,3.241766225233310195e+01
4.799999999999999822e+00,3.218775102599255433e+01
4.900000000000000355e+00,3.182022589678607005e+01
5.000000000000000000e+00,3.153967177845200354e+01
5.099999999999999645e+00,3.128789428449132970e+01
5.200000000000000178e+00,3.105234494063527961e+01
5.299999999999999822e+00,3.069981288431098676e+01
5.400000000000000355e+00,3.030622856943907095e+01
5.500000000000000000e+00,2.992980073189393408e+01
5.599999999999999645e+00,2.954698102386603864e+01
5.700000000000000178e+00,2.934055985393200672e+01
5.799999999999999822e+00,2.896463036832264493e+01
5.900000000000000355e+00,2.866359811967173243e+01
6.000000000000000000e+00,2.841401085225633949e+01
6.099999999999999645e+00,2.800823827484096284e+01
6.200000000000000178e+00,2.760717174679234631e+01
6.299999999999999822e+00,2.731338629043001731e+01
6.400000000000000355e+00,2.695551380358944016e+01
6.500000000000000000e+00,2.679689286978472751e+01
6.599999999999999645e+00,2.644407195357496221e+01
6.700000000000000178e+00,2.611461829818757963e+01
6.799999999999999822e+00,2.570921233454200205e+01
6.900000000000000355e+00,2.545496511785196958e+01
7.000000000000000000e+00,2.505962702395154906e+01
7.099999999999999645e+00,2.484284893621466495e+01
7.200000000000000178e+00,2.456820805098197980e+01
7.299999999999999822e+00,2.431501000888771102e+01
7.400000000000000355e+00,2.387353897321811758e+01
7.500000000000000000e+00,2.358980757944277684e+01
7.599999999999999645e+00,2.318070620046019314e+01
7.700000000000000178e+00,2.296709267423635481e+01
7.799999999999999822e+00,2.272120788493083410e+01
7.900000000000000355e+00,2.236563592167026115e+01
8.000000000000000000e+00,2.190830658910739714e+01
8.099999999999999645e+00,2.170630488953850090e+01
8.199999999999999289e+00,2.132732062980970511e+01
8.300000000000000711e+00,2.103635736215166219e+01
8.400000000000000355e+00,2.057258518377813061e+01
8.500000000000000000e+00,2.033119171944048276e+01
8.599999999999999645e+00,1.992273365742698843e+01
8.699999999999999289e+00,1.969739745505525264e+01
8.800000000000000711e+00,1.937486822400309450e+01
8.900000000000000355e+00,1.906718292919674695e+01
9.000000000000000000e+00,1.884590870454086087e+01
9.099999999999999645e+00,1.841754270970567120e+01
9.199999999999999289e+00,1.814673115961272742e+01
9.300000000000000711e+00,1.782769194560812309e+01
9.400000000000000355e+00,1.755621740391376306e+01
9.500000000000000000e+00,1.727587093525436046e+01
9.599999999999999645e+00,1.695628873036794459e+01
9.699999999999999289e+00,1.685294320661878942e+01
9.800000000000000711e+00,1.648660495258110359e+01
9.900000000000000355e+00,1.617109277299726955e+01
1.000000000000000000e+01,1.591555929047905238e+01
1.009999999999999964e+01,1.565382738173684629e+01
1.019999999999999929e+01,1.539769088509162032e+01
1.030000000000000071e+01,1.510188219264229303e+01
1.040000000000000036e+01,1.492742135090961142e+01
1.050000000000000000e+01,1.455392627023212526e+01
1.059999999999999964e+01,1.418184268723159391e+01
1.069999999999999929e+01,1.391438927873903708e+01
1.080000000000000071e+01,1.369132759228263296e+01
1.090000000000000036e+01,1.330585605266976756e+01
1.100000000000000000e+01,1.307198899863389840e+01
1.109999999999999964e+01,1.274577554846300131e+01
1.119999999999999929e+01,1.251225095021840161e+01
1.130000000000000071e+01,1.217539804439481088e+01
1.140000000000000036e+01,1.183317306306041417e+01
1.150000000000000000e+01,1.149518455271859807e+01
1.159999999999999964e+01,1.117814095140225561e+01
1.169999999999999929e+01,1.074974125027831917e+01
1.180000000000000071e+01,1.030280122324278125e+01
1.190000000000000036e+01,9.997664023320240290e+00
1.200000000000000000e+01,9.744391295806408948e+00
1.209999999999999964e+01,9.285460898241439054e+00
1.219999999999999929e+01,9.147156678914669214e+00
1.230000000000000071e+01,8.783912203188307899e+00
1.240000000000000036e+01,8.325968350730818202e+00
1.250000000000000000e+01,8.016116690850807913e+00
1.259999999999999964e+01,7.696460521013122502e+00
1.269999999999999929e+01,7.330823217473380282e+00
1.280000000000000071e+01,7.060102864114256249e+00
1.290000000000000036e+01,6.692025237017929840e+00
1.300000000000000000e+01,6.329236769118509187e+00
1.309999999999999964e+01,5.896327084860104151e+00
1.319999999999999929e+01,5.604035315495877967e+00
1.330000000000000071e+01,5.356584639859548247e+00
1.340000000000000036e+01,5.059764802812892981e+00
1.350000000000000000e+01,4.728739441295829238e+00
1.359999999999999964e+01,4.479168804563826711e+00
1.369999999999999929e+01,4.168156045026591983e+00
1.380000000000000071e+01,3.880245992006649658e+00
1.390000000000000036e+01,3.555194243058664938e+00
1.400000000000000000e+01,3.111174384926542302e+00
1.409999999999999964e+01,2.794087829008560675e+00
1.419999999999999929e+01,2.434978102237195685e+00
1.430000000000000071e+01,2.196321111981831109e+00
1.440000000000000036e+01,1.861774745947258225e+00
