time_s,phase_deg
0.000000000000000000e+00,1.572633467123465834e+03
1.000000000000000056e-01,1.666164235701838606e+03
2.000000000000000111e-01,1.766152855247978096e+03
2.999999999999999889e-01,1.864390932396738890e+03
4.000000000000000222e-01,1.956269169582828681e+03
5.000000000000000000e-01,2.038379946573889811e+03
5.999999999999999778e-01,2.109363774241751798e+03
6.999999999999999556e-01,2.169879926380982852e+03
8.000000000000000444e-01,2.219534032075268442e+03
9.000000000000000222e-01,2.258766108480895127e+03
1.000000000000000000e+00,2.268641504793398326e+03
1.100000000000000089e+00,2.297843690468406749e+03
1.199999999999999956e+00,2.276985034368809920e+03
1.300000000000000044e+00,2.258611545570619455e+03
1.399999999999999911e+00,2.245676757823018761e+03
1.500000000000000000e+00,2.236221512602473467e+03
1.600000000000000089e+00,2.228940296941490487e+03
1.699999999999999956e+00,2.230726900122524057e+03
1.800000000000000044e+00,2.238944558740434331e+03
1.899999999999999911e+00,2.256702901545684654e+03
2.000000000000000000e+00,2.281372685034724782e+03
2.100000000000000089e+00,2.319433309261633894e+03
2.200000000000000178e+00,2.367826819616562261e+03
2.299999999999999822e+00,2.430680430064224765e+03
2.399999999999999911e+00,2.507322825223065593e+03
2.500000000000000000e+00,2.596374005279679750e+03
2.600000000000000089e+00,2.702356024420163067e+03
2.700000000000000178e+00,2.826973653814897261e+03
2.799999999999999822e+00,2.966193440387259216e+03
2.899999999999999911e+00,3.127524505605490504e+03
3.000000000000000000e+00,3.305982214384888266e+03
3.100000000000000089e+00,3.144238638276353413e+03
3.200000000000000178e+00,2.999420853520692162e+03
3.299999999999999822e+00,2.875730612633965393e+03
3.399999999999999911e+00,2.773549323416645620e+03
3.500000000000000000e+00,2.689509426649457964e+03
3.600000000000000089e+00,2.630272455087275375e+03
3.700000000000000178e+00,2.586309212391663095e+03
3.799999999999999822e+00,2.461270193963385736e+03
3.899999999999999911e+00,2.430145805723516332e+03
4.000000000000000000e+00,2.455183313171020927e+03
4.099999999999999645e+00,2.511633186654575184e+03
4.200000000000000178e+00,2.593563827693559233e+03
4.299999999999999822e+00,2.701659786383487699e+03
4.400000000000000355e+00,2.835462037269650864e+03
4.500000000000000000e+00,2.991732849428607096e+03
4.599999999999999645e+00,3.166168157075140698e+03
4.700000000000000178e+00,2.995936197876363622e+03
4.799999999999999822e+00,2.837477062859167290e+03
4.900000000000000355e+00,2.683239497614821630e+03
5.000000000000000000e+00,2.530573893511780170e+03
5.099999999999999645e+00,2.380375871367242326e+03
5.200000000000000178e+00,2.231547457146477427e+03
5.299999999999999822e+00,2.085605168213452998e+03
5.400000000000000355e+00,1.944135341445020458e+03
5.500000000000000000e+00,1.802312050245480805e+03
5.599999999999999645e+00,1.661344066641843256e+03
5.700000000000000178e+00,1.517038705611727210e+03
5.799999999999999822e+00,1.371648076785409557e+03
5.900000000000000355e+00,1.227175892776406727e+03
6.000000000000000000e+00,1.085303188192890275e+03
6.099999999999999645e+00,9.480976886990468984e+02
6.200000000000000178e+00,8.161745876389252317e+02
6.299999999999999822e+00,6.816891085496686173e+02
6.400000000000000355e+00,5.481234603747745950e+02
6.500000000000000000e+00,4.190806552409653705e+02
6.599999999999999645e+00,2.894087742517631341e+02
6.700000000000000178e+00,1.611351187700931860e+02
6.799999999999999822e+00,3.585749707910031248e+01
6.900000000000000355e+00,-8.962855797581323714e+01
7.000000000000000000e+00,-2.086119068392870304e+02
7.099999999999999645e+00,-3.241435954008557019e+02
7.200000000000000178e+00,-4.356615536862154840e+02
7.299999999999999822e+00,-5.442879218235007102e+02
7.400000000000000355e+00,-6.514914939544710251e+02
7.500000000000000000e+00,-7.580824268361916438e+02
7.599999999999999645e+00,-8.624362160743689856e+02
7.700000000000000178e+00,-9.643007327759264626e+02
7.799999999999999822e+00,-1.063637304308766943e+03
7.900000000000000355e+00,-1.160827026835714605e+03
8.000000000000000000e+00,-1.257075118305582691e+03
8.099999999999999645e+00,-1.350883849151683989e+03
8.199999999999999289e+00,-1.439581733826898471e+03
8.300000000000000711e+00,-1.527302620647198637e+03
8.400000000000000355e+00,-1.614300023126520500e+03
8.500000000000000000e+00,-1.698861371527868869e+03
8.599999999999999645e+00,-1.778069255461770808e+03
8.699999999999999289e+00,-1.859038971000326001e+03
8.800000000000000711e+00,-1.938092548020597405e+03
8.900000000000000355e+00,-2.015605913537225206e+03
9.000000000000000000e+00,-2.088578757727150787e+03
9.099999999999999645e+00,-2.158027293019456465e+03
9.199999999999999289e+00,-2.221860732637037017e+03
9.300000000000000711e+00,-2.285550441724906705e+03
9.400000000000000355e+00,-2.347689914384978692e+03
9.500000000000000000e+00,-2.405954527924177455e+03
9.599999999999999645e+00,-2.461229730471108269e+03
9.699999999999999289e+00,-2.512617967661978582e+03
9.800000000000000711e+00,-2.563895318620515354e+03
9.900000000000000355e+00,-2.610680638008001551e+03
1.000000000000000000e+01,-2.658273211355462081e+03
1.009999999999999964e+01,-2.702097936748329630e+03
1.019999999999999929e+01,-2.742008238149663157e+03
1.030000000000000071e+01,-2.781225124807994689e+03
1.040000000000000036e+01,-2.818336843605912691e+03
1.050000000000000000e+01,-2.852509783588963728e+03
1.059999999999999964e+01,-2.888034842231475523e+03
1.069999999999999929e+01,-2.916013759451961050e+03
1.080000000000000071e+01,-2.944074836439878709e+03
1.090000000000000036e+01,-2.968489466184672892e+03
1.100000000000000000e+01,-2.994874299933890143e+03
1.109999999999999964e+01,-3.010604856307048067e+03
1.119999999999999929e+01,-3.033750709954323611e+03
1.130000000000000071e+01,-3.046025653870866336e+03
1.140000000000000036e+01,-3.047774784258458567e+03
1.150000000000000000e+01,-3.061519442372636149e+03
1.159999999999999964e+01,-3.085752394279517830e+03
1.169999999999999929e+01,-3.089812104919099511e+03
1.180000000000000071e+01,-2.980729522469904623e+03
1.190000000000000036e+01,-2.874872136305905769e+03
1.200000000000000000e+01,-2.894700189738616245e+03
1.209999999999999964e+01,-2.891388352552655306e+03
1.219999999999999929e+01,-2.882597532048531320e+03
1.230000000000000071e+01,-2.882735593836625412e+03
1.240000000000000036e+01,-2.865942332763352169e+03
1.250000000000000000e+01,-2.846285322471180734e+03
1.259999999999999964e+01,-2.831866316974302208e+03
1.269999999999999929e+01,-2.816521473789232004e+03
1.280000000000000071e+01,-2.792947438213755049e+03
1.290000000000000036e+01,-2.777247667018663378e+03
1.300000000000000000e+01,-2.751672067768680790e+03
1.309999999999999964e+01,-2.725443179901415533e+03
1.319999999999999929e+01,-2.691199036082172825e+03
1.330000000000000071e+01,-2.663647559159533557e+03
1.340000000000000036e+01,-2.629533962420879107e+03
1.350000000000000000e+01,-2.595107277632962905e+03
1.359999999999999964e+01,-2.558521474798363670e+03
1.369999999999999929e+01,-2.519534556198451355e+03
1.380000000000000071e+01,-2.477793992857961712e+03
1.390000000000000036e+01,-2.434532724574890381e+03
1.400000000000000000e+01,-2.387736441099325930e+03
1.409999999999999964e+01,-2.339690117611651203e+03
1.419999999999999929e+01,-2.290793956892615824e+03
1.430000000000000071e+01,-2.239669995822123838e+03
1.440000000000000036e+01,-2.184588345813741398e+03
1.450000000000000000e+01,-2.128816988426442094e+03
1.459999999999999964e+01,-2.066990284230982525e+03
1.469999999999999929e+01,-2.002152060304652423e+03
1.480000000000000071e+01,-1.936194926908475281e+03
1.490000000000000036e+01,-1.866133741471789563e+03
1.500000000000000000e+01,-1.794117642700470697e+03
1.509999999999999964e+01,-1.724072840010363052e+03
1.519999999999999929e+01,-1.646090057932751279e+03
1.530000000000000071e+01,-1.571330004713625385e+03
1.540000000000000036e+01,-1.490767568763087638e+03
1.550000000000000000e+01,-1.411569032175118991e+03
1.559999999999999964e+01,-1.327909992709794096e+03
1.569999999999999929e+01,-1.242743755607756157e+03
1.580000000000000071e+01,-1.157817699415712923e+03
1.590000000000000036e+01,-1.071951983680133708e+03
1.600000000000000000e+01,-9.799009872913716208e+02
1.610000000000000142e+01,-8.895506017157968017e+02
1.619999999999999929e+01,-7.933449291354113484e+02
1.630000000000000071e+01,-6.944009913603904351e+02
1.639999999999999858e+01,-5.958068197557072381e+02
1.650000000000000000e+01,-4.929506008351522723e+02
1.660000000000000142e+01,-3.879446022889310370e+02
1.669999999999999929e+01,-2.796356259673814293e+02
1.680000000000000071e+01,-1.702609954369279421e+02
1.689999999999999858e+01,-6.007794049284188986e+01
1.700000000000000000e+01,5.190579385142359570e+01
1.710000000000000142e+01,1.652933515786537555e+02
1.719999999999999929e+01,2.828196761881781640e+02
1.730000000000000071e+01,4.006768403891835533e+02
1.739999999999999858e+01,5.209194703493005818e+02
1.750000000000000000e+01,6.404922169161977763e+02
1.760000000000000142e+01,7.636822737153612479e+02
